Process,Average Time (s),Maximum Time (s),Minimum Time (s)
YOLO Detection (total),0.132,0.990,0.092
YOLO Inference,0.125,0.978,0.087
YOLO Result Saving,0.007,0.094,0.005
Cropping (total),0.128,0.726,0.089
Image Reading,0.005,0.011,0.005
Target Detection,0.120,0.719,0.081
Image Cropping,0.000,0.001,0.000
Crop Saving,0.001,0.003,0.001
Total Pipeline,151.880,,
